Donovan Patton
Lisa Donovan
Stephen Dorff
Dorian Brown
Marie Doro
Dorothy Devore
John Doucette
Mike Douglas
Fiona Dourif
Constance Dowling
Doris Dowling
Billy Drago
Alfred Drake
Dave Draper
Claire Du Brey
Don Dubbins
Anne Dudek
Michael Dudikoff
Howard Duff
Dennis Dugan
Andrew Duggan
Clark Duke
Margaret Dumont
Steffi Duna
Donnie Dunagan
Merrin Dungey
Pamela Dunlap
Josephine Dunn
Kevin Dunn
Michael Thomas Dunn
Dominique Dunne
Stephen Dunne
Dan Duryea
Eliza Dushku
Rob Dyrdek
George Eads
Jeanne Eagels
Richard Eastham
Kyle Eastwood
Brando Eaton
Mary Eaton
Pearl Eaton
Vilma Ebsen
Edie McClurg
Richard Edson
Edward Kimball
Jennifer Edwards
Richard Egan
Nicole Eggert
Sally Eilers
India Eisley
Dana Elcar
Elizabeth Ho
Elizabeth Malecki
Héctor Elizondo
Ellen Dorsher
Yvonne Elliman
Maxine Elliott
Wild Bill Elliott
Corri English
Robert Englund
Gary y Edmund Entin
Shareeka Epps
Eric Ladin
R. Lee Ermey
Stuart Erwin
Emilio Estévez
Chris Evans
Gene Evans
Edward Everett Horton
Briana Evigan
Elinor Fair
Douglas Fairbanks, Jr.
Marion Fairbanks
Virginia Brown Faire
Donald Faison
Evan Farmer
Frances Farmer
Dustin Farnum
Geraldine Farrar
Frank Fay
Louise Fazenda
Maude Fealy
Lindsay Felton
Verna Felton
Sherilyn Fenn
Parker Fennelly
Helen Ferguson
Vanessa Ferlito
Christine Fernandes
Will Ferrell
Miguel Ferrer
America Ferrera
Martin Ferrero
Dante Ferretti
Lou Ferrigno
Audrey Ferris
George Field
Sally Field
Kim Fields
W. C. Fields
Finesse Mitchell
Sticky Fingaz
Linda Fiorentino
Laurence Fishburne
Francesca Fisher
Shug Fisher
Paul Fix
Eric Fleming
Rhonda Fleming
Louise Fletcher
Calista Flockhart
Dann Florek
Florence Turner
Patrick Flueger
Neil Flynn
Bridget Fonda
Henry Fonda
Glenn Ford
Paul Ford
Eugenie Forde
Ken Foree
Bob Fosse
Harry Fox
Jaimee Foxworth
Redd Foxx
Anthony Franciosa
Arlene Francis
Kay Francis
Frank Reicher
Jason David Frank
Dennis Franz
Fred Armisen
Fred Rogers
Ira Aldridge
Jennifer Freeman
Jonathan Freeman
Will Friedle
Loie Fuller
Samuel Fuller
Edward Furlong
Stephen Furst
Ed Fury
Gabriel Iglesias
Gaius Charles
Jean Gale
Zach Galifianakis
Megan Gallagher
Peter Gallagher
Tom Gallop
Toby Scott Ganger
Eric Garcetti
Jsu García
James Garner
Janeane Garofalo
Lane Garrison
Miranda Garrison
Gene Gauntier
William Gaxton
Nona Gaye
Jock Gaynor
